provincia_id,provincia_nombre,departamento_id,departamento_nombre,anio,nacimientos_cantidad,poblacion_total
6.0,Buenos Aires,6854.0,25 de Mayo,2012,575,36343
6.0,Buenos Aires,6588.0,9 de Julio,2012,716,48283
6.0,Buenos Aires,6007.0,Adolfo Alsina,2012,220,17276
6.0,Buenos Aires,6014.0,Adolfo Gonzales Chaves,2012,159,12116
6.0,Buenos Aires,6021.0,Alberti,2012,125,10799
6.0,Buenos Aires,6028.0,Almirante Brown,2012,10832,565509
6.0,Buenos Aires,6077.0,Arrecifes,2012,510,29690
6.0,Buenos Aires,6035.0,Avellaneda,2012,6083,347924
6.0,Buenos Aires,6042.0,Ayacucho,2012,345,20671
6.0,Buenos Aires,6049.0,Azul,2012,1043,66221
6.0,Buenos Aires,6056.0,Bahía Blanca,2012,4859,305445
6.0,Buenos Aires,6063.0,Balcarce,2012,688,44506
6.0,Buenos Aires,6070.0,Baradero,2012,604,33677
6.0,Buenos Aires,6084.0,Benito Juárez,2012,276,20450
6.0,Buenos Aires,6091.0,Berazategui,2012,6369,334458
6.0,Buenos Aires,6098.0,Berisso,2012,1607,90675
6.0,Buenos Aires,6105.0,Bolívar,2012,495,34783
6.0,Buenos Aires,6112.0,Bragado,2012,636,41801
6.0,Buenos Aires,6119.0,Brandsen,2012,540,27436
6.0,Buenos Aires,6126.0,Campana,2012,1936,97252
6.0,Buenos Aires,6134.0,Cañuelas,2012,1204,54342
6.0,Buenos Aires,6140.0,Capitán Sarmiento,2012,230,14957
6.0,Buenos Aires,6147.0,Carlos Casares,2012,361,22680
6.0,Buenos Aires,6154.0,Carlos Tejedor,2012,145,11678
6.0,Buenos Aires,6161.0,Carmen de Areco,2012,245,14967
6.0,Buenos Aires,6168.0,Castelli,2012,139,8354
6.0,Buenos Aires,6210.0,Chacabuco,2012,761,49806
6.0,Buenos Aires,6224.0,Chivilcoy,2012,990,65458
6.0,Buenos Aires,6175.0,Colón,2012,402,25487
6.0,Buenos Aires,6182.0,Coronel de Marina Leonardo Rosales,2012,1038,62880
6.0,Buenos Aires,6189.0,Coronel Dorrego,2012,200,15829
6.0,Buenos Aires,6196.0,Coronel Pringles,2012,396,22965
6.0,Buenos Aires,6203.0,Coronel Suárez,2012,596,38988
6.0,Buenos Aires,6231.0,Daireaux,2012,263,17263
6.0,Buenos Aires,6238.0,Dolores,2012,440,27559
6.0,Buenos Aires,6245.0,Ensenada,2012,1144,58103
6.0,Buenos Aires,6252.0,Escobar,2012,4933,223018
6.0,Buenos Aires,6260.0,Esteban Echeverría,2012,6359,316567
6.0,Buenos Aires,6266.0,Exaltación de la Cruz,2012,615,31288
6.0,Buenos Aires,6270.0,Ezeiza,2012,3875,175333
6.0,Buenos Aires,6274.0,Florencio Varela,2012,9939,446287
6.0,Buenos Aires,6277.0,Florentino Ameghino,2012,169,9082
6.0,Buenos Aires,6280.0,General Alvarado,2012,571,40744
6.0,Buenos Aires,6287.0,General Alvear,2012,143,11286
6.0,Buenos Aires,6294.0,General Arenales,2012,212,15047
6.0,Buenos Aires,6301.0,General Belgrano,2012,269,17856
6.0,Buenos Aires,6308.0,General Guido,2012,47,2852
6.0,Buenos Aires,6315.0,General Juan Madariaga,2012,374,20241
6.0,Buenos Aires,6322.0,General La Madrid,2012,170,10839
6.0,Buenos Aires,6329.0,General Las Heras,2012,236,15472
6.0,Buenos Aires,6336.0,General Lavalle,2012,77,3870
6.0,Buenos Aires,6343.0,General Paz,2012,228,11392
6.0,Buenos Aires,6351.0,General Pinto,2012,166,11394
6.0,Buenos Aires,6357.0,General Pueyrredón,2012,9881,631064
6.0,Buenos Aires,6364.0,General Rodríguez,2012,2347,92041
6.0,Buenos Aires,6371.0,General San Martín,2012,7101,419531
6.0,Buenos Aires,6385.0,General Viamonte,2012,259,18343
6.0,Buenos Aires,6392.0,General Villegas,2012,501,31555
6.0,Buenos Aires,6399.0,Guaminí,2012,135,12058
6.0,Buenos Aires,6406.0,Hipólito Yrigoyen,2012,154,9784
6.0,Buenos Aires,6408.0,Hurlingham,2012,3046,184914
6.0,Buenos Aires,6410.0,Ituzaingó,2012,2536,171536
6.0,Buenos Aires,6412.0,José C. Paz,2012,6429,275801
6.0,Buenos Aires,6413.0,Junín,2012,1477,92811
6.0,Buenos Aires,6420.0,La Costa,2012,1270,71826
6.0,Buenos Aires,6427.0,La Matanza,2012,29107,1883251
